x, y, probability density 
-175.5, 175.5, 1.21823E-01 
-166.5, 175.5, 3.74297E-01 
-157.5, 175.5, 5.26586E-01 
-148.5, 175.5, 5.57150E-01 
-139.5, 175.5, 6.37755E-01 
-130.5, 175.5, 7.37248E-01 
-121.5, 175.5, 7.88211E-01 
-112.5, 175.5, 6.71072E-01 
-103.5, 175.5, 5.30427E-01 
-94.5, 175.5, 3.61714E-01 
-85.5, 175.5, 3.40936E-01 
-76.5, 175.5, 3.31853E-01 
-67.5, 175.5, 3.45375E-01 
-58.5, 175.5, 3.64227E-01 
-49.5, 175.5, 2.50774E-01 
-40.5, 175.5, 7.14286E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 8.33333E-02 
58.5, 175.5, 5.66239E-02 
67.5, 175.5, 3.77203E-02 
76.5, 175.5, 1.20855E-02 
85.5, 175.5, 2.85633E-03 
94.5, 175.5, 0.00000E+00 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 2.35756E-03 
175.5, 175.5, 1.88679E-02 
-175.5, 166.5, 3.43992E-01 
-166.5, 166.5, 4.93648E-01 
-157.5, 166.5, 6.20712E-01 
-148.5, 166.5, 6.49424E-01 
-139.5, 166.5, 8.68790E-01 
-130.5, 166.5, 9.45065E-01 
-121.5, 166.5, 8.01741E-01 
-112.5, 166.5, 8.97342E-01 
-103.5, 166.5, 8.40405E-01 
-94.5, 166.5, 7.63361E-01 
-85.5, 166.5, 6.86567E-01 
-76.5, 166.5, 6.61266E-01 
-67.5, 166.5, 5.33499E-01 
-58.5, 166.5, 4.22157E-01 
-49.5, 166.5, 3.20495E-01 
-40.5, 166.5, 3.62069E-01 
-31.5, 166.5, 5.00000E-01 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 3.07692E-01 
58.5, 166.5, 1.62791E-01 
67.5, 166.5, 6.97464E-02 
76.5, 166.5, 3.07395E-02 
85.5, 166.5, 5.50035E-03 
94.5, 166.5, 8.85544E-04 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 9.83284E-04 
166.5, 166.5, 6.83260E-03 
175.5, 166.5, 6.28571E-02 
-175.5, 157.5, 4.22050E-01 
-166.5, 157.5, 4.47550E-01 
-157.5, 157.5, 6.08581E-01 
-148.5, 157.5, 8.54401E-01 
-139.5, 157.5, 1.00000E+00 
-130.5, 157.5, 1.00000E+00 
-121.5, 157.5, 8.41346E-01 
-112.5, 157.5, 8.90196E-01 
-103.5, 157.5, 1.00000E+00 
-94.5, 157.5, 9.51638E-01 
-85.5, 157.5, 8.73667E-01 
-76.5, 157.5, 8.06014E-01 
-67.5, 157.5, 5.96742E-01 
-58.5, 157.5, 4.13751E-01 
-49.5, 157.5, 2.91125E-01 
-40.5, 157.5, 2.61494E-01 
-31.5, 157.5, 3.47826E-01 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 1.00000E+00 
49.5, 157.5, 4.61538E-01 
58.5, 157.5, 4.24870E-01 
67.5, 157.5, 1.54569E-01 
76.5, 157.5, 6.16209E-02 
85.5, 157.5, 1.57761E-02 
94.5, 157.5, 8.95522E-04 
103.5, 157.5, 0.00000E+00 
112.5, 157.5, 0.00000E+00 
121.5, 157.5, 0.00000E+00 
130.5, 157.5, 0.00000E+00 
139.5, 157.5, 0.00000E+00 
148.5, 157.5, 0.00000E+00 
157.5, 157.5, 0.00000E+00 
166.5, 157.5, 1.15108E-02 
175.5, 157.5, 1.10580E-01 
-175.5, 148.5, 3.41772E-01 
-166.5, 148.5, 4.51623E-01 
-157.5, 148.5, 6.03604E-01 
-148.5, 148.5, 9.69817E-01 
-139.5, 148.5, 1.00000E+00 
-130.5, 148.5, 8.49365E-01 
-121.5, 148.5, 7.13423E-01 
-112.5, 148.5, 7.34199E-01 
-103.5, 148.5, 8.94743E-01 
-94.5, 148.5, 9.64449E-01 
-85.5, 148.5, 1.00000E+00 
-76.5, 148.5, 8.33935E-01 
-67.5, 148.5, 6.17235E-01 
-58.5, 148.5, 4.31858E-01 
-49.5, 148.5, 3.22867E-01 
-40.5, 148.5, 2.28977E-01 
-31.5, 148.5, 2.22222E-01 
-22.5, 148.5, 0.00000E+00 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 1.00000E+00 
49.5, 148.5, 2.00000E-01 
58.5, 148.5, 4.16667E-01 
67.5, 148.5, 3.71901E-01 
76.5, 148.5, 1.35706E-01 
85.5, 148.5, 2.94737E-02 
94.5, 148.5, 3.03556E-03 
103.5, 148.5, 0.00000E+00 
112.5, 148.5, 0.00000E+00 
121.5, 148.5, 0.00000E+00 
130.5, 148.5, 0.00000E+00 
139.5, 148.5, 0.00000E+00 
148.5, 148.5, 0.00000E+00 
157.5, 148.5, 4.24628E-03 
166.5, 148.5, 2.60870E-02 
175.5, 148.5, 1.44806E-01 
-175.5, 139.5, 3.40278E-01 
-166.5, 139.5, 4.54424E-01 
-157.5, 139.5, 6.63958E-01 
-148.5, 139.5, 1.00000E+00 
-139.5, 139.5, 7.58814E-01 
-130.5, 139.5, 5.70140E-01 
-121.5, 139.5, 4.78141E-01 
-112.5, 139.5, 4.68753E-01 
-103.5, 139.5, 5.46401E-01 
-94.5, 139.5, 6.75345E-01 
-85.5, 139.5, 7.60537E-01 
-76.5, 139.5, 8.47311E-01 
-67.5, 139.5, 6.96391E-01 
-58.5, 139.5, 4.88724E-01 
-49.5, 139.5, 3.60510E-01 
-40.5, 139.5, 3.20618E-01 
-31.5, 139.5, 2.39583E-01 
-22.5, 139.5, 3.00000E-01 
-13.5, 139.5, 0.00000E+00 
-4.5, 139.5, 0.00000E+00 
4.5, 139.5, 0.00000E+00 
13.5, 139.5, 0.00000E+00 
22.5, 139.5, 0.00000E+00 
31.5, 139.5, 0.00000E+00 
40.5, 139.5, 1.00000E+00 
49.5, 139.5, 2.50000E-01 
58.5, 139.5, 3.75000E-01 
67.5, 139.5, 4.85294E-01 
76.5, 139.5, 2.05066E-01 
85.5, 139.5, 3.26797E-02 
94.5, 139.5, 1.49142E-03 
103.5, 139.5, 0.00000E+00 
112.5, 139.5, 0.00000E+00 
121.5, 139.5, 0.00000E+00 
130.5, 139.5, 0.00000E+00 
139.5, 139.5, 0.00000E+00 
148.5, 139.5, 0.00000E+00 
157.5, 139.5, 0.00000E+00 
166.5, 139.5, 1.46252E-02 
175.5, 139.5, 2.10332E-01 
-175.5, 130.5, 5.18265E-01 
-166.5, 130.5, 6.20017E-01 
-157.5, 130.5, 7.89534E-01 
-148.5, 130.5, 9.00276E-01 
-139.5, 130.5, 5.60341E-01 
-130.5, 130.5, 3.97404E-01 
-121.5, 130.5, 3.29620E-01 
-112.5, 130.5, 3.27280E-01 
-103.5, 130.5, 3.72093E-01 
-94.5, 130.5, 4.51148E-01 
-85.5, 130.5, 4.87408E-01 
-76.5, 130.5, 5.72723E-01 
-67.5, 130.5, 6.66796E-01 
-58.5, 130.5, 6.06138E-01 
-49.5, 130.5, 4.46035E-01 
-40.5, 130.5, 3.80608E-01 
-31.5, 130.5, 3.24219E-01 
-22.5, 130.5, 4.00000E-01 
-13.5, 130.5, 1.00000E+00 
-4.5, 130.5, 1.00000E+00 
4.5, 130.5, 0.00000E+00 
13.5, 130.5, 0.00000E+00 
22.5, 130.5, 0.00000E+00 
31.5, 130.5, 0.00000E+00 
40.5, 130.5, 0.00000E+00 
49.5, 130.5, 2.50000E-01 
58.5, 130.5, 7.61905E-01 
67.5, 130.5, 6.52174E-01 
76.5, 130.5, 2.40363E-01 
85.5, 130.5, 8.12408E-02 
94.5, 130.5, 1.00503E-02 
103.5, 130.5, 0.00000E+00 
112.5, 130.5, 4.32900E-03 
121.5, 130.5, 0.00000E+00 
130.5, 130.5, 0.00000E+00 
139.5, 130.5, 0.00000E+00 
148.5, 130.5, 0.00000E+00 
157.5, 130.5, 0.00000E+00 
166.5, 130.5, 4.06780E-02 
175.5, 130.5, 2.73973E-01 
-175.5, 121.5, 5.59471E-01 
-166.5, 121.5, 5.78755E-01 
-157.5, 121.5, 6.57396E-01 
-148.5, 121.5, 7.92748E-01 
-139.5, 121.5, 4.37674E-01 
-130.5, 121.5, 3.18233E-01 
-121.5, 121.5, 2.67774E-01 
-112.5, 121.5, 2.59975E-01 
-103.5, 121.5, 3.05234E-01 
-94.5, 121.5, 3.27955E-01 
-85.5, 121.5, 3.98393E-01 
-76.5, 121.5, 4.52138E-01 
-67.5, 121.5, 5.56666E-01 
-58.5, 121.5, 6.15669E-01 
-49.5, 121.5, 5.79768E-01 
-40.5, 121.5, 4.72316E-01 
-31.5, 121.5, 4.31325E-01 
-22.5, 121.5, 5.35714E-01 
-13.5, 121.5, 3.07692E-01 
-4.5, 121.5, 0.00000E+00 
4.5, 121.5, 0.00000E+00 
13.5, 121.5, 0.00000E+00 
22.5, 121.5, 0.00000E+00 
31.5, 121.5, 0.00000E+00 
40.5, 121.5, 1.00000E+00 
49.5, 121.5, 4.28571E-01 
58.5, 121.5, 3.82979E-01 
67.5, 121.5, 8.23529E-01 
76.5, 121.5, 2.28070E-01 
85.5, 121.5, 6.06061E-02 
94.5, 121.5, 0.00000E+00 
103.5, 121.5, 0.00000E+00 
112.5, 121.5, 8.26446E-03 
121.5, 121.5, 0.00000E+00 
130.5, 121.5, 0.00000E+00 
139.5, 121.5, 0.00000E+00 
148.5, 121.5, 0.00000E+00 
157.5, 121.5, 0.00000E+00 
166.5, 121.5, 2.81690E-02 
175.5, 121.5, 3.35766E-01 
-175.5, 112.5, 5.15385E-01 
-166.5, 112.5, 5.16880E-01 
-157.5, 112.5, 6.01782E-01 
-148.5, 112.5, 6.84296E-01 
-139.5, 112.5, 4.32000E-01 
-130.5, 112.5, 2.87224E-01 
-121.5, 112.5, 2.45545E-01 
-112.5, 112.5, 2.66155E-01 
-103.5, 112.5, 2.79684E-01 
-94.5, 112.5, 3.12500E-01 
-85.5, 112.5, 3.73505E-01 
-76.5, 112.5, 4.58291E-01 
-67.5, 112.5, 5.53366E-01 
-58.5, 112.5, 6.12852E-01 
-49.5, 112.5, 6.52174E-01 
-40.5, 112.5, 5.56410E-01 
-31.5, 112.5, 5.25114E-01 
-22.5, 112.5, 3.20000E-01 
-13.5, 112.5, 1.00000E+00 
-4.5, 112.5, 2.50000E-01 
4.5, 112.5, 0.00000E+00 
13.5, 112.5, 0.00000E+00 
22.5, 112.5, 0.00000E+00 
31.5, 112.5, 0.00000E+00 
40.5, 112.5, 6.66667E-01 
49.5, 112.5, 4.00000E-01 
58.5, 112.5, 5.26316E-01 
67.5, 112.5, 5.03546E-01 
76.5, 112.5, 3.24841E-01 
85.5, 112.5, 6.88259E-02 
94.5, 112.5, 1.73160E-02 
103.5, 112.5, 0.00000E+00 
112.5, 112.5, 0.00000E+00 
121.5, 112.5, 0.00000E+00 
130.5, 112.5, 0.00000E+00 
139.5, 112.5, 0.00000E+00 
148.5, 112.5, 0.00000E+00 
157.5, 112.5, 0.00000E+00 
166.5, 112.5, 5.55556E-02 
175.5, 112.5, 1.31579E-01 
-175.5, 103.5, 5.13158E-01 
-166.5, 103.5, 4.55556E-01 
-157.5, 103.5, 5.34125E-01 
-148.5, 103.5, 6.41480E-01 
-139.5, 103.5, 5.10738E-01 
-130.5, 103.5, 3.49276E-01 
-121.5, 103.5, 2.93074E-01 
-112.5, 103.5, 2.90302E-01 
-103.5, 103.5, 3.00366E-01 
-94.5, 103.5, 3.69888E-01 
