x, y, probability density 
-175.5, 175.5, 9.68132E-03 
-166.5, 175.5, 3.21285E-03 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 0.00000E+00 
-85.5, 175.5, 2.37310E-03 
-76.5, 175.5, 1.45939E-02 
-67.5, 175.5, 3.53593E-02 
-58.5, 175.5, 5.60803E-02 
-49.5, 175.5, 1.54799E-02 
-40.5, 175.5, 2.85714E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 1.04167E-01 
58.5, 175.5, 6.73077E-02 
67.5, 175.5, 1.25275E-01 
76.5, 175.5, 1.30877E-01 
85.5, 175.5, 1.66524E-01 
94.5, 175.5, 2.12116E-01 
103.5, 175.5, 3.04178E-01 
112.5, 175.5, 3.69933E-01 
121.5, 175.5, 4.40982E-01 
130.5, 175.5, 3.71612E-01 
139.5, 175.5, 3.45887E-01 
148.5, 175.5, 2.88860E-01 
157.5, 175.5, 2.31321E-01 
166.5, 175.5, 1.24951E-01 
175.5, 175.5, 3.93765E-02 
-175.5, 166.5, 2.90698E-03 
-166.5, 166.5, 4.53721E-04 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 0.00000E+00 
-85.5, 166.5, 1.22674E-03 
-76.5, 166.5, 4.05063E-03 
-67.5, 166.5, 1.24400E-02 
-58.5, 166.5, 1.73714E-02 
-49.5, 166.5, 1.65062E-02 
-40.5, 166.5, 0.00000E+00 
-31.5, 166.5, 5.00000E-01 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 0.00000E+00 
58.5, 166.5, 9.30233E-03 
67.5, 166.5, 4.16667E-02 
76.5, 166.5, 6.64230E-02 
85.5, 166.5, 7.22143E-02 
94.5, 166.5, 1.18220E-01 
103.5, 166.5, 1.31992E-01 
112.5, 166.5, 1.83725E-01 
121.5, 166.5, 2.25636E-01 
130.5, 166.5, 2.01230E-01 
139.5, 166.5, 1.65354E-01 
148.5, 166.5, 1.30633E-01 
157.5, 166.5, 1.06195E-01 
166.5, 166.5, 5.46608E-02 
175.5, 166.5, 2.19048E-02 
-175.5, 157.5, 8.61326E-04 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 0.00000E+00 
-103.5, 157.5, 0.00000E+00 
-94.5, 157.5, 0.00000E+00 
-85.5, 157.5, 9.01307E-04 
-76.5, 157.5, 2.93096E-03 
-67.5, 157.5, 4.43439E-03 
-58.5, 157.5, 6.43599E-03 
-49.5, 157.5, 6.12089E-03 
-40.5, 157.5, 1.14943E-02 
-31.5, 157.5, 0.00000E+00 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 0.00000E+00 
58.5, 157.5, 2.07254E-02 
67.5, 157.5, 1.11016E-02 
76.5, 157.5, 3.34896E-02 
85.5, 157.5, 5.64885E-02 
94.5, 157.5, 8.02985E-02 
103.5, 157.5, 1.07261E-01 
112.5, 157.5, 1.30778E-01 
121.5, 157.5, 1.52530E-01 
130.5, 157.5, 1.14569E-01 
139.5, 157.5, 1.00369E-01 
148.5, 157.5, 7.93201E-02 
157.5, 157.5, 5.50585E-02 
166.5, 157.5, 2.30216E-02 
175.5, 157.5, 1.36519E-02 
-175.5, 148.5, 7.91139E-04 
-166.5, 148.5, 0.00000E+00 
-157.5, 148.5, 0.00000E+00 
-148.5, 148.5, 0.00000E+00 
-139.5, 148.5, 0.00000E+00 
-130.5, 148.5, 0.00000E+00 
-121.5, 148.5, 0.00000E+00 
-112.5, 148.5, 0.00000E+00 
-103.5, 148.5, 0.00000E+00 
-94.5, 148.5, 2.12247E-04 
-85.5, 148.5, 1.16669E-03 
-76.5, 148.5, 2.48488E-03 
-67.5, 148.5, 5.78324E-03 
-58.5, 148.5, 8.61708E-03 
-49.5, 148.5, 8.88626E-03 
-40.5, 148.5, 4.05268E-03 
-31.5, 148.5, 0.00000E+00 
-22.5, 148.5, 0.00000E+00 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 0.00000E+00 
49.5, 148.5, 0.00000E+00 
58.5, 148.5, 0.00000E+00 
67.5, 148.5, 4.13223E-03 
76.5, 148.5, 3.19662E-02 
85.5, 148.5, 4.54737E-02 
94.5, 148.5, 8.19601E-02 
103.5, 148.5, 1.10855E-01 
112.5, 148.5, 1.43646E-01 
121.5, 148.5, 1.51545E-01 
130.5, 148.5, 1.24597E-01 
139.5, 148.5, 1.15468E-01 
148.5, 148.5, 8.36158E-02 
157.5, 148.5, 5.52017E-02 
166.5, 148.5, 1.08696E-02 
175.5, 148.5, 4.19727E-03 
-175.5, 139.5, 0.00000E+00 
-166.5, 139.5, 0.00000E+00 
-157.5, 139.5, 0.00000E+00 
-148.5, 139.5, 0.00000E+00 
-139.5, 139.5, 0.00000E+00 
-130.5, 139.5, 0.00000E+00 
-121.5, 139.5, 0.00000E+00 
-112.5, 139.5, 0.00000E+00 
-103.5, 139.5, 0.00000E+00 
-94.5, 139.5, 3.51834E-04 
-85.5, 139.5, 9.44096E-04 
-76.5, 139.5, 3.76001E-03 
-67.5, 139.5, 7.83424E-03 
-58.5, 139.5, 9.35912E-03 
-49.5, 139.5, 1.16348E-02 
-40.5, 139.5, 1.15094E-02 
-31.5, 139.5, 0.00000E+00 
-22.5, 139.5, 0.00000E+00 
-13.5, 139.5, 0.00000E+00 
-4.5, 139.5, 0.00000E+00 
4.5, 139.5, 0.00000E+00 
13.5, 139.5, 0.00000E+00 
22.5, 139.5, 0.00000E+00 
31.5, 139.5, 0.00000E+00 
40.5, 139.5, 0.00000E+00 
49.5, 139.5, 0.00000E+00 
58.5, 139.5, 5.00000E-02 
67.5, 139.5, 2.20588E-02 
76.5, 139.5, 4.58384E-02 
85.5, 139.5, 7.04430E-02 
94.5, 139.5, 1.02908E-01 
103.5, 139.5, 1.27741E-01 
112.5, 139.5, 2.08386E-01 
121.5, 139.5, 2.28125E-01 
130.5, 139.5, 1.51771E-01 
139.5, 139.5, 8.42105E-02 
148.5, 139.5, 1.00358E-01 
157.5, 139.5, 8.42105E-02 
166.5, 139.5, 2.55941E-02 
175.5, 139.5, 0.00000E+00 
-175.5, 130.5, 2.28311E-03 
-166.5, 130.5, 0.00000E+00 
-157.5, 130.5, 0.00000E+00 
-148.5, 130.5, 0.00000E+00 
-139.5, 130.5, 0.00000E+00 
-130.5, 130.5, 0.00000E+00 
-121.5, 130.5, 0.00000E+00 
-112.5, 130.5, 0.00000E+00 
-103.5, 130.5, 0.00000E+00 
-94.5, 130.5, 1.75886E-04 
-85.5, 130.5, 1.32196E-04 
-76.5, 130.5, 3.26728E-03 
-67.5, 130.5, 8.13368E-03 
-58.5, 130.5, 1.80411E-02 
-49.5, 130.5, 1.57203E-02 
-40.5, 130.5, 1.30246E-02 
-31.5, 130.5, 0.00000E+00 
-22.5, 130.5, 0.00000E+00 
-13.5, 130.5, 0.00000E+00 
-4.5, 130.5, 0.00000E+00 
4.5, 130.5, 0.00000E+00 
13.5, 130.5, 0.00000E+00 
22.5, 130.5, 0.00000E+00 
31.5, 130.5, 0.00000E+00 
40.5, 130.5, 0.00000E+00 
49.5, 130.5, 0.00000E+00 
58.5, 130.5, 4.76190E-02 
67.5, 130.5, 4.34783E-02 
76.5, 130.5, 8.61678E-02 
85.5, 130.5, 1.37371E-01 
94.5, 130.5, 1.40704E-01 
103.5, 130.5, 3.24226E-01 
112.5, 130.5, 2.90043E-01 
121.5, 130.5, 2.62136E-01 
130.5, 130.5, 2.02765E-01 
139.5, 130.5, 1.23529E-01 
148.5, 130.5, 5.69620E-02 
157.5, 130.5, 8.05369E-02 
166.5, 130.5, 1.35593E-02 
175.5, 130.5, 6.84932E-03 
-175.5, 121.5, 0.00000E+00 
-166.5, 121.5, 0.00000E+00 
-157.5, 121.5, 0.00000E+00 
-148.5, 121.5, 0.00000E+00 
-139.5, 121.5, 0.00000E+00 
-130.5, 121.5, 0.00000E+00 
-121.5, 121.5, 0.00000E+00 
-112.5, 121.5, 0.00000E+00 
-103.5, 121.5, 0.00000E+00 
-94.5, 121.5, 0.00000E+00 
-85.5, 121.5, 5.12733E-04 
-76.5, 121.5, 2.03666E-03 
-67.5, 121.5, 8.94333E-03 
-58.5, 121.5, 1.72640E-02 
-49.5, 121.5, 2.98574E-02 
-40.5, 121.5, 3.61582E-02 
-31.5, 121.5, 1.20482E-02 
-22.5, 121.5, 3.57143E-02 
