x, y, probability density 
-175.5, 175.5, 7.26099E-03 
-166.5, 175.5, 8.03213E-04 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 7.29262E-04 
-85.5, 175.5, 1.58207E-03 
-76.5, 175.5, 3.17259E-03 
-67.5, 175.5, 8.98318E-03 
-58.5, 175.5, 2.30224E-02 
-49.5, 175.5, 2.16718E-02 
-40.5, 175.5, 1.42857E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 1.45833E-01 
58.5, 175.5, 1.14316E-01 
67.5, 175.5, 1.14262E-01 
76.5, 175.5, 1.33530E-01 
85.5, 175.5, 1.74522E-01 
94.5, 175.5, 2.02423E-01 
103.5, 175.5, 2.52368E-01 
112.5, 175.5, 3.26643E-01 
121.5, 175.5, 3.76771E-01 
130.5, 175.5, 3.80483E-01 
139.5, 175.5, 4.42022E-01 
148.5, 175.5, 4.45619E-01 
157.5, 175.5, 3.54580E-01 
166.5, 175.5, 1.72102E-01 
175.5, 175.5, 4.51189E-02 
-175.5, 166.5, 5.81395E-03 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 2.96912E-04 
-85.5, 166.5, 6.13371E-04 
-76.5, 166.5, 2.19409E-03 
-67.5, 166.5, 3.90972E-03 
-58.5, 166.5, 7.86627E-03 
-49.5, 166.5, 0.00000E+00 
-40.5, 166.5, 0.00000E+00 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 0.00000E+00 
58.5, 166.5, 2.32558E-02 
67.5, 166.5, 4.80072E-02 
76.5, 166.5, 6.42734E-02 
85.5, 166.5, 6.26331E-02 
94.5, 166.5, 8.50122E-02 
103.5, 166.5, 1.30735E-01 
112.5, 166.5, 1.63591E-01 
121.5, 166.5, 1.91737E-01 
130.5, 166.5, 2.03466E-01 
139.5, 166.5, 2.63217E-01 
148.5, 166.5, 1.95443E-01 
157.5, 166.5, 1.89774E-01 
166.5, 166.5, 8.97999E-02 
175.5, 166.5, 2.47619E-02 
-175.5, 157.5, 1.72265E-03 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 0.00000E+00 
-103.5, 157.5, 0.00000E+00 
-94.5, 157.5, 0.00000E+00 
-85.5, 157.5, 3.00436E-04 
-76.5, 157.5, 8.68432E-04 
-67.5, 157.5, 2.53394E-03 
-58.5, 157.5, 4.52431E-03 
-49.5, 157.5, 2.67789E-03 
-40.5, 157.5, 0.00000E+00 
-31.5, 157.5, 0.00000E+00 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 0.00000E+00 
58.5, 157.5, 0.00000E+00 
67.5, 157.5, 2.64731E-02 
76.5, 157.5, 3.81782E-02 
85.5, 157.5, 4.17303E-02 
94.5, 157.5, 7.37313E-02 
103.5, 157.5, 8.08581E-02 
112.5, 157.5, 1.16122E-01 
121.5, 157.5, 1.68211E-01 
130.5, 157.5, 1.34371E-01 
139.5, 157.5, 2.08118E-01 
148.5, 157.5, 1.67139E-01 
157.5, 157.5, 1.25258E-01 
166.5, 157.5, 6.47482E-02 
175.5, 157.5, 9.55631E-03 
-175.5, 148.5, 7.91139E-04 
-166.5, 148.5, 0.00000E+00 
-157.5, 148.5, 0.00000E+00 
-148.5, 148.5, 0.00000E+00 
-139.5, 148.5, 0.00000E+00 
-130.5, 148.5, 0.00000E+00 
-121.5, 148.5, 0.00000E+00 
-112.5, 148.5, 0.00000E+00 
-103.5, 148.5, 0.00000E+00 
-94.5, 148.5, 0.00000E+00 
-85.5, 148.5, 1.45836E-04 
-76.5, 148.5, 1.17211E-03 
-67.5, 148.5, 3.07011E-03 
-58.5, 148.5, 4.51769E-03 
-49.5, 148.5, 4.34439E-03 
-40.5, 148.5, 0.00000E+00 
-31.5, 148.5, 2.22222E-02 
-22.5, 148.5, 0.00000E+00 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 0.00000E+00 
49.5, 148.5, 0.00000E+00 
58.5, 148.5, 1.38889E-02 
67.5, 148.5, 4.13223E-02 
76.5, 148.5, 2.95537E-02 
85.5, 148.5, 4.96842E-02 
94.5, 148.5, 5.76756E-02 
103.5, 148.5, 9.12240E-02 
112.5, 148.5, 1.53118E-01 
121.5, 148.5, 1.59521E-01 
130.5, 148.5, 1.63265E-01 
139.5, 148.5, 1.76471E-01 
148.5, 148.5, 1.83051E-01 
157.5, 148.5, 1.12527E-01 
166.5, 148.5, 4.56522E-02 
175.5, 148.5, 1.04932E-02 
-175.5, 139.5, 0.00000E+00 
-166.5, 139.5, 0.00000E+00 
-157.5, 139.5, 0.00000E+00 
-148.5, 139.5, 0.00000E+00 
-139.5, 139.5, 0.00000E+00 
-130.5, 139.5, 0.00000E+00 
-121.5, 139.5, 0.00000E+00 
-112.5, 139.5, 0.00000E+00 
-103.5, 139.5, 0.00000E+00 
-94.5, 139.5, 0.00000E+00 
-85.5, 139.5, 4.04613E-04 
-76.5, 139.5, 2.12522E-03 
-67.5, 139.5, 5.00878E-03 
-58.5, 139.5, 4.63499E-03 
-49.5, 139.5, 1.04459E-02 
-40.5, 139.5, 1.15094E-02 
-31.5, 139.5, 1.56250E-02 
-22.5, 139.5, 0.00000E+00 
-13.5, 139.5, 0.00000E+00 
-4.5, 139.5, 0.00000E+00 
4.5, 139.5, 0.00000E+00 
13.5, 139.5, 0.00000E+00 
22.5, 139.5, 0.00000E+00 
31.5, 139.5, 0.00000E+00 
40.5, 139.5, 0.00000E+00 
49.5, 139.5, 0.00000E+00 
58.5, 139.5, 2.50000E-02 
67.5, 139.5, 3.67647E-02 
76.5, 139.5, 5.06634E-02 
85.5, 139.5, 6.46333E-02 
94.5, 139.5, 9.84340E-02 
103.5, 139.5, 1.35367E-01 
112.5, 139.5, 1.52478E-01 
121.5, 139.5, 1.81250E-01 
130.5, 139.5, 2.59696E-01 
139.5, 139.5, 2.03509E-01 
148.5, 139.5, 1.86380E-01 
157.5, 139.5, 1.15789E-01 
166.5, 139.5, 3.29068E-02 
175.5, 139.5, 7.38007E-03 
-175.5, 130.5, 2.28311E-03 
-166.5, 130.5, 0.00000E+00 
-157.5, 130.5, 0.00000E+00 
-148.5, 130.5, 0.00000E+00 
-139.5, 130.5, 0.00000E+00 
-130.5, 130.5, 0.00000E+00 
-121.5, 130.5, 0.00000E+00 
-112.5, 130.5, 0.00000E+00 
-103.5, 130.5, 0.00000E+00 
-94.5, 130.5, 0.00000E+00 
-85.5, 130.5, 3.96589E-04 
-76.5, 130.5, 1.79174E-03 
-67.5, 130.5, 5.92043E-03 
-58.5, 130.5, 1.37554E-02 
-49.5, 130.5, 1.75974E-02 
-40.5, 130.5, 2.74964E-02 
-31.5, 130.5, 3.90625E-02 
-22.5, 130.5, 5.71429E-02 
-13.5, 130.5, 0.00000E+00 
-4.5, 130.5, 0.00000E+00 
4.5, 130.5, 0.00000E+00 
13.5, 130.5, 0.00000E+00 
22.5, 130.5, 0.00000E+00 
31.5, 130.5, 0.00000E+00 
40.5, 130.5, 0.00000E+00 
49.5, 130.5, 0.00000E+00 
58.5, 130.5, 4.76190E-02 
67.5, 130.5, 1.44928E-02 
76.5, 130.5, 9.97732E-02 
85.5, 130.5, 1.22600E-01 
94.5, 130.5, 1.65829E-01 
103.5, 130.5, 2.44080E-01 
112.5, 130.5, 2.81385E-01 
121.5, 130.5, 2.47573E-01 
130.5, 130.5, 2.39631E-01 
139.5, 130.5, 2.94118E-01 
148.5, 130.5, 2.08861E-01 
157.5, 130.5, 1.87919E-01 
166.5, 130.5, 8.13559E-02 
175.5, 130.5, 1.36986E-02 
-175.5, 121.5, 4.40529E-03 
-166.5, 121.5, 0.00000E+00 
-157.5, 121.5, 0.00000E+00 
-148.5, 121.5, 0.00000E+00 
-139.5, 121.5, 0.00000E+00 
-130.5, 121.5, 0.00000E+00 
-121.5, 121.5, 0.00000E+00 
-112.5, 121.5, 0.00000E+00 
-103.5, 121.5, 2.66347E-04 
-94.5, 121.5, 0.00000E+00 
-85.5, 121.5, 5.12733E-04 
-76.5, 121.5, 1.35777E-03 
-67.5, 121.5, 6.38810E-03 
-58.5, 121.5, 1.65496E-02 
-49.5, 121.5, 3.69875E-02 
-40.5, 121.5, 5.76271E-02 
-31.5, 121.5, 5.54217E-02 
-22.5, 121.5, 3.57143E-02 
-13.5, 121.5, 0.00000E+00 
-4.5, 121.5, 0.00000E+00 
4.5, 121.5, 0.00000E+00 
13.5, 121.5, 0.00000E+00 
22.5, 121.5, 0.00000E+00 
31.5, 121.5, 0.00000E+00 
40.5, 121.5, 0.00000E+00 
49.5, 121.5, 0.00000E+00 
58.5, 121.5, 4.25532E-02 
67.5, 121.5, 6.72269E-02 
76.5, 121.5, 2.10526E-01 
85.5, 121.5, 1.71717E-01 
94.5, 121.5, 2.87105E-01 
103.5, 121.5, 3.50318E-01 
112.5, 121.5, 4.46281E-01 
121.5, 121.5, 2.90123E-01 
130.5, 121.5, 1.81208E-01 
139.5, 121.5, 3.64486E-01 
148.5, 121.5, 4.27083E-01 
157.5, 121.5, 1.72840E-01 
166.5, 121.5, 1.40845E-01 
175.5, 121.5, 1.45985E-02 
-175.5, 112.5, 7.69231E-03 
-166.5, 112.5, 0.00000E+00 
-157.5, 112.5, 0.00000E+00 
-148.5, 112.5, 0.00000E+00 
-139.5, 112.5, 0.00000E+00 
-130.5, 112.5, 0.00000E+00 
-121.5, 112.5, 0.00000E+00 
-112.5, 112.5, 0.00000E+00 
-103.5, 112.5, 0.00000E+00 
-94.5, 112.5, 0.00000E+00 
-85.5, 112.5, 0.00000E+00 
-76.5, 112.5, 2.96702E-03 
-67.5, 112.5, 4.76127E-03 
-58.5, 112.5, 2.48027E-02 
-49.5, 112.5, 5.83245E-02 
-40.5, 112.5, 7.17949E-02 
-31.5, 112.5, 1.50685E-01 
-22.5, 112.5, 4.00000E-02 
-13.5, 112.5, 0.00000E+00 
-4.5, 112.5, 0.00000E+00 
4.5, 112.5, 0.00000E+00 
13.5, 112.5, 0.00000E+00 
22.5, 112.5, 0.00000E+00 
31.5, 112.5, 0.00000E+00 
40.5, 112.5, 0.00000E+00 
49.5, 112.5, 1.00000E-01 
58.5, 112.5, 0.00000E+00 
67.5, 112.5, 7.80142E-02 
76.5, 112.5, 2.22930E-01 
85.5, 112.5, 2.95547E-01 
94.5, 112.5, 4.67532E-01 
103.5, 112.5, 3.91061E-01 
112.5, 112.5, 4.33333E-01 
121.5, 112.5, 3.46667E-01 
130.5, 112.5, 2.85714E-01 
139.5, 112.5, 3.41463E-01 
148.5, 112.5, 4.28571E-01 
157.5, 112.5, 3.51648E-01 
166.5, 112.5, 1.94444E-01 
175.5, 112.5, 2.63158E-02 
-175.5, 103.5, 0.00000E+00 
-166.5, 103.5, 0.00000E+00 
-157.5, 103.5, 0.00000E+00 
-148.5, 103.5, 0.00000E+00 
-139.5, 103.5, 0.00000E+00 
-130.5, 103.5, 0.00000E+00 
-121.5, 103.5, 0.00000E+00 
-112.5, 103.5, 0.00000E+00 
-103.5, 103.5, 0.00000E+00 
-94.5, 103.5, 6.19579E-04 
-85.5, 103.5, 9.89364E-04 
-76.5, 103.5, 3.09324E-03 
-67.5, 103.5, 8.94855E-03 
-58.5, 103.5, 4.44802E-02 
-49.5, 103.5, 6.29183E-02 
-40.5, 103.5, 1.46953E-01 
-31.5, 103.5, 3.37079E-02 
-22.5, 103.5, 2.38095E-01 
-13.5, 103.5, 2.50000E-01 
