x, y, probability density 
-175.5, 175.5, 7.66438E-02 
-166.5, 175.5, 2.68273E-01 
-157.5, 175.5, 3.67713E-01 
-148.5, 175.5, 3.48159E-01 
-139.5, 175.5, 4.04592E-01 
-130.5, 175.5, 4.34164E-01 
-121.5, 175.5, 5.38040E-01 
-112.5, 175.5, 5.45521E-01 
-103.5, 175.5, 3.84942E-01 
-94.5, 175.5, 3.24157E-01 
-85.5, 175.5, 2.90837E-01 
-76.5, 175.5, 2.67386E-01 
-67.5, 175.5, 2.99885E-01 
-58.5, 175.5, 2.79221E-01 
-49.5, 175.5, 1.88854E-01 
-40.5, 175.5, 2.85714E-01 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 8.33333E-02 
58.5, 175.5, 3.95299E-02 
67.5, 175.5, 1.73458E-02 
76.5, 175.5, 5.30582E-03 
85.5, 175.5, 3.42759E-03 
94.5, 175.5, 3.72787E-04 
103.5, 175.5, 0.00000E+00 
112.5, 175.5, 0.00000E+00 
121.5, 175.5, 0.00000E+00 
130.5, 175.5, 0.00000E+00 
139.5, 175.5, 0.00000E+00 
148.5, 175.5, 0.00000E+00 
157.5, 175.5, 0.00000E+00 
166.5, 175.5, 1.57171E-03 
175.5, 175.5, 1.06645E-02 
-175.5, 166.5, 2.30620E-01 
-166.5, 166.5, 3.10345E-01 
-157.5, 166.5, 3.88501E-01 
-148.5, 166.5, 4.18438E-01 
-139.5, 166.5, 5.04860E-01 
-130.5, 166.5, 5.81006E-01 
-121.5, 166.5, 5.73179E-01 
-112.5, 166.5, 7.39468E-01 
-103.5, 166.5, 6.97937E-01 
-94.5, 166.5, 6.99525E-01 
-85.5, 166.5, 5.94766E-01 
-76.5, 166.5, 5.83460E-01 
-67.5, 166.5, 4.60636E-01 
-58.5, 166.5, 3.66109E-01 
-49.5, 166.5, 2.86107E-01 
-40.5, 166.5, 3.62069E-01 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 2.05128E-01 
58.5, 166.5, 9.76744E-02 
67.5, 166.5, 2.53623E-02 
76.5, 166.5, 1.18229E-02 
85.5, 166.5, 4.08091E-03 
94.5, 166.5, 4.42772E-04 
103.5, 166.5, 0.00000E+00 
112.5, 166.5, 0.00000E+00 
121.5, 166.5, 0.00000E+00 
130.5, 166.5, 0.00000E+00 
139.5, 166.5, 0.00000E+00 
148.5, 166.5, 0.00000E+00 
157.5, 166.5, 0.00000E+00 
166.5, 166.5, 1.95217E-03 
175.5, 166.5, 3.90476E-02 
-175.5, 157.5, 2.97158E-01 
-166.5, 157.5, 3.06583E-01 
-157.5, 157.5, 4.26623E-01 
-148.5, 157.5, 5.59241E-01 
-139.5, 157.5, 5.83101E-01 
-130.5, 157.5, 6.38489E-01 
-121.5, 157.5, 6.05769E-01 
-112.5, 157.5, 7.46261E-01 
-103.5, 157.5, 9.09169E-01 
-94.5, 157.5, 8.94139E-01 
-85.5, 157.5, 8.27099E-01 
-76.5, 157.5, 7.32523E-01 
-67.5, 157.5, 5.56199E-01 
-58.5, 157.5, 4.14771E-01 
-49.5, 157.5, 3.08340E-01 
-40.5, 157.5, 2.78736E-01 
-31.5, 157.5, 4.34783E-01 
-22.5, 157.5, 0.00000E+00 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 1.00000E+00 
49.5, 157.5, 5.38462E-01 
58.5, 157.5, 1.86528E-01 
67.5, 157.5, 5.89240E-02 
76.5, 157.5, 1.27261E-02 
85.5, 157.5, 7.12468E-03 
94.5, 157.5, 1.49254E-03 
103.5, 157.5, 0.00000E+00 
112.5, 157.5, 0.00000E+00 
121.5, 157.5, 0.00000E+00 
130.5, 157.5, 0.00000E+00 
139.5, 157.5, 0.00000E+00 
148.5, 157.5, 0.00000E+00 
157.5, 157.5, 0.00000E+00 
166.5, 157.5, 1.58273E-02 
175.5, 157.5, 6.27986E-02 
-175.5, 148.5, 3.18038E-01 
-166.5, 148.5, 3.72763E-01 
-157.5, 148.5, 5.34168E-01 
-148.5, 148.5, 7.65498E-01 
-139.5, 148.5, 6.63338E-01 
-130.5, 148.5, 5.61129E-01 
-121.5, 148.5, 5.47680E-01 
-112.5, 148.5, 6.63866E-01 
-103.5, 148.5, 9.13079E-01 
-94.5, 148.5, 1.08246E+00 
-85.5, 148.5, 1.03077E+00 
-76.5, 148.5, 8.71911E-01 
-67.5, 148.5, 6.63144E-01 
-58.5, 148.5, 4.96277E-01 
-49.5, 148.5, 3.98104E-01 
-40.5, 148.5, 3.48531E-01 
-31.5, 148.5, 3.88889E-01 
-22.5, 148.5, 8.00000E-01 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 0.00000E+00 
49.5, 148.5, 6.00000E-01 
58.5, 148.5, 2.36111E-01 
67.5, 148.5, 2.35537E-01 
76.5, 148.5, 4.76478E-02 
85.5, 148.5, 9.26316E-03 
94.5, 148.5, 3.90286E-03 
103.5, 148.5, 0.00000E+00 
112.5, 148.5, 0.00000E+00 
121.5, 148.5, 0.00000E+00 
130.5, 148.5, 0.00000E+00 
139.5, 148.5, 0.00000E+00 
148.5, 148.5, 0.00000E+00 
157.5, 148.5, 0.00000E+00 
166.5, 148.5, 1.30435E-02 
175.5, 148.5, 1.34313E-01 
-175.5, 139.5, 4.42130E-01 
-166.5, 139.5, 5.42019E-01 
-157.5, 139.5, 7.55931E-01 
-148.5, 139.5, 9.54131E-01 
-139.5, 139.5, 6.04768E-01 
-130.5, 139.5, 4.38280E-01 
-121.5, 139.5, 4.23514E-01 
-112.5, 139.5, 4.75060E-01 
-103.5, 139.5, 6.49991E-01 
-94.5, 139.5, 7.99015E-01 
-85.5, 139.5, 9.28721E-01 
-76.5, 139.5, 1.01439E+00 
-67.5, 139.5, 8.66946E-01 
-58.5, 139.5, 6.55139E-01 
-49.5, 139.5, 5.45478E-01 
-40.5, 139.5, 4.65307E-01 
-31.5, 139.5, 4.63542E-01 
-22.5, 139.5, 2.00000E-01 
-13.5, 139.5, 1.00000E+00 
-4.5, 139.5, 0.00000E+00 
4.5, 139.5, 0.00000E+00 
13.5, 139.5, 0.00000E+00 
22.5, 139.5, 0.00000E+00 
31.5, 139.5, 0.00000E+00 
40.5, 139.5, 1.00000E+00 
49.5, 139.5, 7.50000E-01 
58.5, 139.5, 3.25000E-01 
67.5, 139.5, 2.50000E-01 
76.5, 139.5, 8.44391E-02 
85.5, 139.5, 2.68700E-02 
94.5, 139.5, 4.47427E-03 
103.5, 139.5, 0.00000E+00 
112.5, 139.5, 2.54130E-03 
121.5, 139.5, 0.00000E+00 
130.5, 139.5, 0.00000E+00 
139.5, 139.5, 0.00000E+00 
148.5, 139.5, 0.00000E+00 
157.5, 139.5, 0.00000E+00 
166.5, 139.5, 1.82815E-02 
175.5, 139.5, 2.80443E-01 
-175.5, 130.5, 5.91324E-01 
-166.5, 130.5, 7.96438E-01 
-157.5, 130.5, 9.97700E-01 
-148.5, 130.5, 9.60478E-01 
-139.5, 130.5, 5.30999E-01 
-130.5, 130.5, 3.47036E-01 
-121.5, 130.5, 3.25401E-01 
-112.5, 130.5, 3.79808E-01 
-103.5, 130.5, 4.93739E-01 
-94.5, 130.5, 6.06455E-01 
-85.5, 130.5, 6.71426E-01 
-76.5, 130.5, 7.56008E-01 
-67.5, 130.5, 8.97859E-01 
-58.5, 130.5, 9.11385E-01 
-49.5, 130.5, 7.40028E-01 
-40.5, 130.5, 6.36758E-01 
-31.5, 130.5, 5.54688E-01 
-22.5, 130.5, 4.85714E-01 
-13.5, 130.5, 5.00000E-01 
-4.5, 130.5, 0.00000E+00 
4.5, 130.5, 0.00000E+00 
13.5, 130.5, 0.00000E+00 
22.5, 130.5, 0.00000E+00 
31.5, 130.5, 0.00000E+00 
40.5, 130.5, 0.00000E+00 
49.5, 130.5, 7.50000E-01 
58.5, 130.5, 6.19048E-01 
67.5, 130.5, 5.07246E-01 
76.5, 130.5, 1.58730E-01 
85.5, 130.5, 5.76071E-02 
94.5, 130.5, 1.00503E-02 
103.5, 130.5, 3.64299E-03 
112.5, 130.5, 4.32900E-03 
121.5, 130.5, 4.85437E-03 
130.5, 130.5, 0.00000E+00 
139.5, 130.5, 0.00000E+00 
148.5, 130.5, 0.00000E+00 
157.5, 130.5, 6.71141E-03 
166.5, 130.5, 2.71186E-02 
175.5, 130.5, 3.69863E-01 
-175.5, 121.5, 6.74009E-01 
-166.5, 121.5, 8.52747E-01 
-157.5, 121.5, 8.52929E-01 
-148.5, 121.5, 9.57696E-01 
-139.5, 121.5, 4.65181E-01 
-130.5, 121.5, 3.12963E-01 
