x, y, probability density 
-175.5, 175.5, 4.84066E-03 
-166.5, 175.5, 2.40964E-03 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 0.00000E+00 
-94.5, 175.5, 0.00000E+00 
-85.5, 175.5, 2.63678E-04 
-76.5, 175.5, 1.14213E-03 
-67.5, 175.5, 5.54281E-03 
-58.5, 175.5, 5.31287E-03 
-49.5, 175.5, 1.54799E-02 
-40.5, 175.5, 0.00000E+00 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 3.33333E-01 
49.5, 175.5, 2.08333E-01 
58.5, 175.5, 1.39957E-01 
67.5, 175.5, 1.38491E-01 
76.5, 175.5, 1.12601E-01 
85.5, 175.5, 1.07112E-01 
94.5, 175.5, 1.24884E-01 
103.5, 175.5, 1.55989E-01 
112.5, 175.5, 2.51082E-01 
121.5, 175.5, 3.39943E-01 
130.5, 175.5, 3.49926E-01 
139.5, 175.5, 3.60753E-01 
148.5, 175.5, 2.67723E-01 
157.5, 175.5, 2.01773E-01 
166.5, 175.5, 1.16306E-01 
175.5, 175.5, 3.69155E-02 
-175.5, 166.5, 3.87597E-03 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 0.00000E+00 
-85.5, 166.5, 1.84011E-03 
-76.5, 166.5, 1.01266E-03 
-67.5, 166.5, 2.31029E-03 
-58.5, 166.5, 4.58866E-03 
-49.5, 166.5, 1.37552E-03 
-40.5, 166.5, 0.00000E+00 
-31.5, 166.5, 5.00000E-01 
-22.5, 166.5, 0.00000E+00 
