x, y, probability density 
-175.5, 175.5, 4.69136E-07 
-166.5, 175.5, 2.46914E-08 
-157.5, 175.5, 0.00000E+00 
-148.5, 175.5, 0.00000E+00 
-139.5, 175.5, 0.00000E+00 
-130.5, 175.5, 0.00000E+00 
-121.5, 175.5, 0.00000E+00 
-112.5, 175.5, 0.00000E+00 
-103.5, 175.5, 2.46914E-08 
-94.5, 175.5, 2.46914E-08 
-85.5, 175.5, 2.22222E-07 
-76.5, 175.5, 7.90123E-07 
-67.5, 175.5, 1.01235E-06 
-58.5, 175.5, 1.62963E-06 
-49.5, 175.5, 4.93827E-07 
-40.5, 175.5, 2.46914E-08 
-31.5, 175.5, 0.00000E+00 
-22.5, 175.5, 0.00000E+00 
-13.5, 175.5, 0.00000E+00 
-4.5, 175.5, 0.00000E+00 
4.5, 175.5, 0.00000E+00 
13.5, 175.5, 0.00000E+00 
22.5, 175.5, 0.00000E+00 
31.5, 175.5, 0.00000E+00 
40.5, 175.5, 0.00000E+00 
49.5, 175.5, 1.72840E-07 
58.5, 175.5, 2.04938E-06 
67.5, 175.5, 8.64198E-06 
76.5, 175.5, 1.67160E-05 
85.5, 175.5, 1.87407E-05 
94.5, 175.5, 1.60494E-05 
103.5, 175.5, 1.51358E-05 
112.5, 175.5, 1.53827E-05 
121.5, 175.5, 1.43210E-05 
130.5, 175.5, 1.46420E-05 
139.5, 175.5, 1.68395E-05 
148.5, 175.5, 1.73333E-05 
157.5, 175.5, 1.69630E-05 
166.5, 175.5, 1.21235E-05 
175.5, 175.5, 4.04938E-06 
-175.5, 166.5, 2.96296E-07 
-166.5, 166.5, 0.00000E+00 
-157.5, 166.5, 0.00000E+00 
-148.5, 166.5, 0.00000E+00 
-139.5, 166.5, 0.00000E+00 
-130.5, 166.5, 0.00000E+00 
-121.5, 166.5, 0.00000E+00 
-112.5, 166.5, 0.00000E+00 
-103.5, 166.5, 0.00000E+00 
-94.5, 166.5, 2.46914E-08 
-85.5, 166.5, 1.48148E-07 
-76.5, 166.5, 6.41975E-07 
-67.5, 166.5, 1.43210E-06 
-58.5, 166.5, 1.23457E-06 
-49.5, 166.5, 6.91358E-07 
-40.5, 166.5, 1.72840E-07 
-31.5, 166.5, 0.00000E+00 
-22.5, 166.5, 0.00000E+00 
-13.5, 166.5, 0.00000E+00 
-4.5, 166.5, 0.00000E+00 
4.5, 166.5, 0.00000E+00 
13.5, 166.5, 0.00000E+00 
22.5, 166.5, 0.00000E+00 
31.5, 166.5, 0.00000E+00 
40.5, 166.5, 0.00000E+00 
49.5, 166.5, 1.48148E-07 
58.5, 166.5, 3.45679E-07 
67.5, 166.5, 2.12346E-06 
76.5, 166.5, 4.69136E-06 
85.5, 166.5, 6.81481E-06 
94.5, 166.5, 6.09877E-06 
103.5, 166.5, 5.62963E-06 
112.5, 166.5, 5.72840E-06 
121.5, 166.5, 6.19753E-06 
130.5, 166.5, 5.97531E-06 
139.5, 166.5, 6.93827E-06 
148.5, 166.5, 7.06173E-06 
157.5, 166.5, 7.30864E-06 
166.5, 166.5, 4.04938E-06 
175.5, 166.5, 1.18519E-06 
-175.5, 157.5, 2.46914E-08 
-166.5, 157.5, 0.00000E+00 
-157.5, 157.5, 0.00000E+00 
-148.5, 157.5, 0.00000E+00 
-139.5, 157.5, 0.00000E+00 
-130.5, 157.5, 0.00000E+00 
-121.5, 157.5, 0.00000E+00 
-112.5, 157.5, 0.00000E+00 
-103.5, 157.5, 0.00000E+00 
-94.5, 157.5, 2.46914E-08 
-85.5, 157.5, 1.72840E-07 
-76.5, 157.5, 4.19753E-07 
-67.5, 157.5, 1.55556E-06 
-58.5, 157.5, 1.92593E-06 
-49.5, 157.5, 8.88889E-07 
-40.5, 157.5, 1.72840E-07 
-31.5, 157.5, 4.93827E-08 
-22.5, 157.5, 2.46914E-08 
-13.5, 157.5, 0.00000E+00 
-4.5, 157.5, 0.00000E+00 
4.5, 157.5, 0.00000E+00 
13.5, 157.5, 0.00000E+00 
22.5, 157.5, 0.00000E+00 
31.5, 157.5, 0.00000E+00 
40.5, 157.5, 0.00000E+00 
49.5, 157.5, 2.46914E-08 
58.5, 157.5, 2.46914E-08 
67.5, 157.5, 5.67901E-07 
76.5, 157.5, 2.04938E-06 
85.5, 157.5, 2.91358E-06 
94.5, 157.5, 3.25926E-06 
103.5, 157.5, 3.62963E-06 
112.5, 157.5, 3.80247E-06 
121.5, 157.5, 3.13580E-06 
130.5, 157.5, 3.53086E-06 
139.5, 157.5, 3.85185E-06 
148.5, 157.5, 3.67901E-06 
157.5, 157.5, 3.30864E-06 
166.5, 157.5, 1.87654E-06 
175.5, 157.5, 4.93827E-07 
-175.5, 148.5, 0.00000E+00 
-166.5, 148.5, 0.00000E+00 
-157.5, 148.5, 0.00000E+00 
-148.5, 148.5, 0.00000E+00 
-139.5, 148.5, 0.00000E+00 
-130.5, 148.5, 0.00000E+00 
-121.5, 148.5, 0.00000E+00 
-112.5, 148.5, 0.00000E+00 
-103.5, 148.5, 0.00000E+00 
-94.5, 148.5, 9.87654E-08 
-85.5, 148.5, 2.22222E-07 
-76.5, 148.5, 7.90123E-07 
-67.5, 148.5, 1.90123E-06 
-58.5, 148.5, 2.34568E-06 
-49.5, 148.5, 1.53086E-06 
-40.5, 148.5, 7.16049E-07 
-31.5, 148.5, 2.46914E-08 
-22.5, 148.5, 0.00000E+00 
-13.5, 148.5, 0.00000E+00 
-4.5, 148.5, 0.00000E+00 
4.5, 148.5, 0.00000E+00 
13.5, 148.5, 0.00000E+00 
22.5, 148.5, 0.00000E+00 
31.5, 148.5, 0.00000E+00 
40.5, 148.5, 0.00000E+00 
49.5, 148.5, 0.00000E+00 
58.5, 148.5, 2.46914E-08 
67.5, 148.5, 2.46914E-07 
76.5, 148.5, 9.62963E-07 
85.5, 148.5, 2.24691E-06 
94.5, 148.5, 2.81481E-06 
103.5, 148.5, 2.71605E-06 
112.5, 148.5, 2.86420E-06 
121.5, 148.5, 2.93827E-06 
130.5, 148.5, 2.56790E-06 
139.5, 148.5, 2.19753E-06 
148.5, 148.5, 2.64198E-06 
157.5, 148.5, 2.41975E-06 
166.5, 148.5, 1.43210E-06 
175.5, 148.5, 2.46914E-07 
-175.5, 139.5, 0.00000E+00 
-166.5, 139.5, 0.00000E+00 
-157.5, 139.5, 0.00000E+00 
-148.5, 139.5, 0.00000E+00 
